"po_number","cust_id","sku"
"U095737","United States","IZ740NW"
"U095773","United States","PZ740BO"
"U095774","United States","IZ740BO"
"U095775","United States","IZ740BO"
"U095778","United States","PZ740BO"
"U095780","United States","PZ740BO"
"U095787","United States","GR740BO"
"U095789","United States","GR740BO"
"U095989","United States","NW515GRY"
"U095995","United States","NW515GRY"
"U096013","United States","NW515GRY"
"U096022","United States","NW515GRY"
"U096024","United States","NW515GRY"
"U095851","United States","PC515GRY"
"U095851","United States","PC515GRY"
"U095851","United States","PC515GRY"
"U095987","United States","PC515PNK"
"U095988","United States","PC515GRY"
"U095993","United States","PC515GRY"
"U095996","United States","GC515GRY"
"U096015","United States","GC515GRY"
"U096021","United States","PC515GRY"
"U096023","United States","PC515GRY"
"U096029","United States","PC515GRY"
"U096040","United States","GC515GRY"
"U096043","United States","PC515WHT"
"C129045","Canada","M5152YB"
"C129045","Canada","M5152YB"
"U099228","United States","W5151SM"
"U099230","United States","M5152YB"
"U099230","United States","M5152YB"
"U099230","United States","M5152YB"
"U099233","United States","M515873"
"U099233","United States","M515873"
"U099233","United States","M515873"
"U099519","United States","M5152YB"
"U099519","United States","M5152YB"
"U099519","United States","M5152YB"
"U099521","United States","M515873"
"U099521","United States","M515873"
"U099521","United States","M515873"
"U099573","United States","U5742RG"
"U099584","United States","U57418X"
"U099636","United States","W51547Y"
"U099649","United States","U5742RG"
"U099659","United States","U57418X"
"U099673","United States","U57418X"
"U099869","United States","PC515NVY"
"U099869","United States","PC515NVY"
"U099882","United States","I5742W2"
"U099885","United States","I5741QU"
"U099885","United States","I5741QU"
"U099885","United States","I5741QU"
"U099886","United States","I5741QU"
"U099886","United States","I5741QU"
"U099886","United States","I5741QU"
"U099893","United States","I5741QU"
"U099893","United States","I5741QU"
"U099893","United States","I5741QU"
"U099900","United States","I5742W2"
"U099900","United States","I5742W2"
"U099900","United States","I5742W2"
"U099906","United States","I5742W2"
"U099906","United States","I5742W2"
"U099906","United States","I5742W2"
"U099912","United States","I5741QU"
"U099912","United States","I5741QU"
"U099912","United States","I5741QU"
"U099938","United States","P5746RH"
"U099938","United States","P5746RH"
"U099940","United States","P5746RH"
"U099940","United States","P5746RH"
"U099942","United States","P5743U6"
"U099942","United States","P5743U6"
"U099943","United States","P5746RH"
"U099943","United States","P5746RH"
"U099945","United States","P5743U6"
"U099945","United States","P5743U6"
"U099953","United States","P5743U6"
"U099953","United States","P5743U6"
"U099956","United States","PC515NVY"
"U099957","United States","PC515NVY"
"U099969","United States","I5742W2"
"U099969","United States","I5742W2"
"U099969","United States","I5742W2"
"U100915","United States","WL515NVY"
"U100915","United States","WL515NVY"
"U100977","United States","W51547Y"
"U100992","United States","WL515SBL"
"U101106","United States","M515873"
"U101106","United States","M515873"
"U101108","United States","WL515SBL"
"U101108","United States","WL515SBL"
"U101108","United States","WL515SBL"
"U101219","United States","U5748SB"
"U101219","United States","U5748SB"
"U101225","United States","U5748DF"
"U101225","United States","U5748DF"
